#,Time of Day,Thread,Module,API,Return Value,Error,Duration
00:00.0,53:36.7,1,KERNEL32.DLL,RtlImageNtHeader ( 0x0000000000400000 ),0x0000000000400080,,0.0000004
00:00.0,53:36.7,1,KERNEL32.DLL,"NtOpenProcessToken ( GetCurrentProcess(), TOKEN_QUERY, 0x000000000008f4c0 )",STATUS_SUCCESS,,0.0000113
00:00.0,53:36.7,1,KERNEL32.DLL,"NtQueryInformationToken ( 0x0000000000000158, TokenStatistics, 0x000000000008f4d0, 56, 0x000000000008f4c8 )",STATUS_SUCCESS,,0.0000015
00:00.0,53:36.7,1,KERNEL32.DLL,NtClose ( 0x0000000000000158 ),STATUS_SUCCESS,,0.0000005
00:00.0,53:36.7,1,KERNELBASE.dll,RtlGetVersion ( 0x000000000008f3e0 ),STATUS_SUCCESS,,0.0000089
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fc90, ""VirtualAlloc"" )",,,0.0000005
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000004
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fa40, NULL )",3,,0.0000046
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0
00:00.0,53:36.7,1,KERNELBASE.dll,"NtAllocateVirtualMemory ( GetCurrentProcess(), 0x000000000008fcb0, 0, 0x000000000008fcb8, MEM_COMMIT | MEM_RESERVE, PAGE_EXECUTE_READWRITE )",STATUS_SUCCESS,,0.000016
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""VirtualAlloc"" )",,,0.0000001
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000019
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"NtAllocateVirtualMemory ( GetCurrentProcess(), 0x000000000008fe60, 0, 0x000000000008fe68, MEM_COMMIT | MEM_RESERVE, PAGE_READWRITE )",STATUS_SUCCESS,,0.0000036
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""GetModuleHandleA"" )",,,0.0000001
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000016
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0.0000004
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000045
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0.0000003
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000066
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.0000036
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""LoadLibraryA"" )",,,0
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.000002
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""kernel32.dll"" )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000018
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""kernel32.dll"" )",,,0.0000002
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.0000017
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.0000012
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""VirtualFree"" )",,,0.0000001
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000009
00:00.0,53:36.7,1,apphelp.dll,RtlLeaveCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitAnsiStringEx ( 0x000000000008fe00, ""user32.dll"" )",STATUS_SUCCESS,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlAnsiStringToUnicodeString ( 0x000000000008fe40, 0x000000000008fe00, TRUE )",STATUS_SUCCESS,,0.0000006
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitUnicodeString ( 0x000000000008fe00, ""user32.dll"" )",,,0.0000001
00:00.0,53:36.7,1,KERNELBASE.dll,"LdrGetDllHandle ( NULL, NULL, 0x000000000008fe00, 0x000000000008fe20 )",STATUS_SUCCESS,,0.000001
00:00.0,53:36.7,1,KERNELBASE.dll,RtlFreeUnicodeString ( 0x000000000008fe40 ),,,0.0000005
00:00.0,53:36.7,1,KERNELBASE.dll,"RtlInitString ( 0x000000000008fe40, ""MessageBoxW"" )",,,0
00:00.0,53:36.7,1,apphelp.dll,RtlEnterCriticalSection ( 0x00007fff77b31ec0 ),STATUS_SUCCESS,,0
00:00.0,53:36.7,1,apphelp.dll,"RtlCaptureStackBackTrace ( 0, 16, 0x000000000008fbf0, NULL )",3,,0.0000007
